"Model","split_num","iter_num","AUC_score"
"XGB4",0,0,0.923622476813966
"XGB4",1,0,0.961499493414387
"XGB4",2,0,0.967890265762606
"XGB4",3,0,0.906838597507969
"XGB4",4,0,0.865980875108664
"XGB4",5,0,0.882063170095625
"XGB4",6,0,0.951970443349754
"XGB4",7,0,0.945595479571139
"XGB4",8,0,0.908142567371776
"XGB4",9,0,0.906983483048392
"XGB4",0,1,0.951601589899462
"XGB4",1,1,0.945834307536435
"XGB4",2,1,0.907099992206375
"XGB4",3,1,0.942045783830774
"XGB4",4,1,0.941321356128658
"XGB4",5,1,0.932193567082005
"XGB4",6,1,0.925963488843813
"XGB4",7,1,0.830991017096494
"XGB4",8,1,0.962257316719791
"XGB4",9,1,0.909084323384526
"XGB4",0,2,0.959239342218066
"XGB4",1,2,0.905853012235991
"XGB4",2,2,0.978567531759021
"XGB4",3,2,0.907128368588815
"XGB4",4,2,0.836424224862359
"XGB4",5,2,0.852796290930165
"XGB4",6,2,0.895899739206027
"XGB4",7,2,0.962691973341061
"XGB4",8,2,0.96124311793683
"XGB4",9,2,0.981671979136482
"XGB5",0,0,0.924323903047307
"XGB5",1,0,0.931727846621464
"XGB5",2,0,0.937962746473385
"XGB5",3,0,0.907345696899449
"XGB5",4,0,0.876774847870183
"XGB5",5,0,0.901188061431469
"XGB5",6,0,0.953129527673138
"XGB5",7,0,0.909518980005795
"XGB5",8,0,0.883656911040278
"XGB5",9,0,0.878296146044625
"XGB5",0,1,0.955420466058764
"XGB5",1,1,0.890343698854337
"XGB5",2,1,0.927675161717715
"XGB5",3,1,0.933642422486236
"XGB5",4,1,0.907128368588815
"XGB5",5,1,0.914155317299334
"XGB5",6,1,0.960518690234714
"XGB5",7,1,0.827658649666763
"XGB5",8,1,0.936974789915966
"XGB5",9,1,0.942480440452043
"XGB5",0,2,0.955186657314317
"XGB5",1,2,0.926350245499182
"XGB5",2,2,0.969526926973736
"XGB5",3,2,0.931106925528832
"XGB5",4,2,0.807157345696899
"XGB5",5,2,0.850478122283396
"XGB5",6,2,0.910026079397276
"XGB5",7,2,0.959069834830484
"XGB5",8,2,0.972471747319617
"XGB5",9,2,0.972399304549406
"XGB6",0,0,0.920582963136155
"XGB6",1,0,0.946379861273478
"XGB6",2,0,0.961577429662536
"XGB6",3,0,0.906548826427123
